date,open,high,low,close,volume,daily_return,ma5,ma20,volatility20,target
2025-05-20,-1.088700478049492,-1.1354063168704245,-1.113674386280643,-1.1158135804992937,-0.43245545503224553,-0.8229092593211669,-0.9830135571696681,-1.0178888491202465,1.6781914944992566,-0.0233291443951486
2025-05-21,-1.175613397855029,-1.184847630741549,-1.26455123940496,-1.2809569350099757,0.3820508398920151,-1.8823394586807232,-1.0545396630600115,-1.0219320112837396,1.6872074129104593,-0.0036188576331059
2025-05-22,-1.3306659682271913,-1.3331704753400269,-1.2998266502856206,-1.3062308484220575,-0.2255640731170171,-0.4003546239270837,-1.1250181922836027,-1.034081259560748,1.5592323351717137,-0.0307109504895662
2025-05-23,-1.5754113016410345,-1.5077681452956722,-1.517758495040216,-1.5170725244306273,1.3186658337520172,-2.437365614164476,-1.2367076755799606,-1.058851527367823,1.8157261527866948,0.024983548541691
2025-05-27,-1.4144492254839152,-1.4026633102580144,-1.3791063151475071,-1.3460442697720412,0.2396028732537403,1.750214401285814,-1.2965687870406868,-1.0762622409079103,2.0543520909036066,0.0010482873230302
2025-05-28,-1.3348375543466608,-1.333861516087688,-1.2928411304998824,-1.3387742508607101,-0.2939155125188945,-0.04943948351875489,-1.341552043416028,-1.095221301462879,2.0400465348103634,-0.0023477932989866
2025-05-29,-1.2308894731335405,-1.2965212338464185,-1.3413868610065716,-1.3550459520800364,0.0012377658735710198,-0.30478533617889186,-1.3564998153439531,-1.1173511351468413,2.014795908791235,0.0044910669006336
2025-05-30,-1.3772507327510464,-1.3604828528894064,-1.4018073597381338,-1.3238866086352903,0.9476959127664234,0.2094175886793673,-1.360061939492961,-1.1393347702508334,2.017746086387491,0.0042230385921995
2025-06-02,-1.345614380947291,-1.3546053359952537,-1.285157276711929,-1.2944589285872081,-0.7771266151671988,0.1892649702431431,-1.3151487068666465,-1.1454319162019198,1.5903976070002535,0.0077536722625899
2025-06-03,-1.3084159328490996,-1.2979044395349066,-1.2558201384812724,-1.2401038797602801,-0.24314530883113797,0.4547276507083202,-1.2937747860012414,-1.1370636552137297,1.2378499071843747,-0.0022162034879448
2025-06-04,-1.254182212149883,-1.2125063315241666,-1.216005138606486,-1.255683021597893,-0.37849353588086676,-0.2948913094340555,-1.2770107797645684,-1.1288224934252316,1.238581191988751,-0.0108564388294812
2025-06-05,-1.2336706341535688,-1.264021477193193,-1.2841094249293947,-1.3315031721798594,0.18296088768252605,-0.9445367407485386,-1.2722609245442675,-1.1204604424956583,1.2331011219486,0.0162652456590958
2025-06-06,-1.2510536371413126,-1.2311767443294581,-1.2177516607819234,-1.2176002038750535,-0.23212779942159603,1.0946991968253388,-1.250817193742809,-1.1083986870444973,1.3063283868176632,-0.0121864866279259
2025-06-09,-1.2027297133320582,-1.2208039542787061,-1.288649322349117,-1.3031140662619662,1.047233579599114,-1.044540900535214,-1.252563404302529,-1.1026640981155926,1.3665452161992777,0.0060377266362993
2025-06-10,-1.3344899001479436,-1.2778516151352677,-1.2694411073580665,-1.2608769520183654,0.16086252183897334,0.32570845245283236,-1.2567544593149407,-1.1173071127313128,-0.28575319759523504,-0.0193803098241953
2025-06-11,-1.2336710835813023,-1.272665427265903,-1.3448793957881424,-1.3955529925812544,0.46869495082127877,-1.5854329235422566,-1.2849738163600963,-1.142824133187002,-0.224017657776381,0.0021106894117195
2025-06-12,-1.387332406707251,-1.439312098512896,-1.3815507056717857,-1.3810118949890715,-0.36384575468445673,0.030440824812434594,-1.2949624101660466,-1.1665017618806341,-0.20842665897292117,-0.0139013814092165
2025-06-13,-1.3647351909325074,-1.4154558277942637,-1.4395265640840145,-1.476219999065693,0.0036985541317836146,-1.1734810874413248,-1.347140045494919,-1.19355161800479,-0.15081894167338444,0.0099780321319714
2025-06-16,-1.4492142544515847,-1.473540067916848,-1.4094910266878866,-1.4080164120282956,-0.40691685847523124,0.6219737001065552,-1.3683045365521653,-1.2167062769620978,-0.06137398321807473,-0.0141098119637435
2025-06-17,-1.4526913691700196,-1.4839127687576597,-1.4566401360484285,-1.5042636201198687,-0.6098466149371392,-1.1891526463910989,-1.4174088241908902,-1.2404019562261104,-0.0384798752591315,0.0047932421314531
2025-06-18,-1.4964952316804312,-1.5122632280088024,-1.4615296971448075,-1.4717196877964558,-0.29123544609905894,0.2321376594180169,-1.4327757764545972,-1.2589401404084177,-0.02885164967019389,0.0222354125239775
2025-06-20,-1.4165355328207359,-1.369473056545389,-1.3990138951890145,-1.3186942678690998,2.2143245398688967,1.5435864637392784,-1.4202029321368235,-1.2609057757620898,0.0107367681921003,0.0024845808381479
2025-06-23,-1.298681182352238,-1.3487276936230852,-1.3256699943548271,-1.3013829327500637,0.21649582786672225,0.05855312122398971,-1.384928816010243,-1.260653260978598,0.007988717095860237,-0.0059731684073722
2025-06-24,-1.2653073163474993,-1.3093136666225604,-1.2823633847374525,-1.3429285473814707,0.13120636869148453,-0.5773714733459788,-1.3717970645780933,-1.2515825733601882,-0.49817535982932376,0.0062708733249147
2025-06-25,-1.3049392108923943,-1.3013615154878517,-1.26769458265381,-1.2993057844896814,-0.577222897335687,0.34323837786550776,-1.3304459561007858,-1.2491480923810716,-0.8395727588300388,-0.0027822857556903
2025-06-26,-1.3056353761606325,-1.336973412235629,-1.3082081365086264,-1.3186942678690998,-0.027887246837986757,-0.33745412681717696,-1.2995724317012665,-1.2481021805086876,-0.834039936323615,0.000398008894982
2025-06-27,-1.2896427219194864,-1.316919944021522,-1.2893482755601793,-1.3159240303422466,1.0631190641966843,-0.0983328750949104,-1.2990135245868906,-1.2460644256742777,-0.8382942812313721,0.0201360617669745
2025-06-30,-1.2854709776464055,-1.1727463113827648,-1.3151930211539269,-1.1743234557317417,1.9755208761654817,1.385739648912695,-1.2733787387730204,-1.2382740865411037,-0.6099046664170924,0.0128334526422644
2025-07-01,-1.1234656269578893,-1.075939057433695,-1.074907445787636,-1.082577088794167,1.336013172760407,0.8366681865027625,-1.2208517330444186,-1.2272377359687605,-0.5354922876939503,0.0219872207372053
2025-07-02,-1.0455918755022695,-0.9670313865590644,-1.005057243618393,-0.9226276647039565,0.8074504734404497,1.5249253215373733,-1.1448553323974486,-1.2107012606806253,-0.32437711892625565,0.0052114546359404
2025-07-03,-0.9329529841791753,-0.9217391572268646,-0.8768814111329346,-0.8841977724631188,-0.7999071797358006,0.26358238657176253,-1.057193830414375,-1.1913516012387857,-0.33171136868872775,-0.0170016751069727
2025-07-07,-0.9145279479202854,-0.8671125884642737,-0.9820065200975095,-1.0088346163573432,-0.05566735349159072,-1.4065871958823775,-0.9952372449006868,-1.17454467099782,-0.22243368587171175,0.0002857975997366
2025-07-08,-1.0042208939913366,-1.0330674049168365,-0.9942300641659487,-1.0067569382122026,-0.4152884114011901,-0.10676986233154417,-0.9614299926831267,-1.1635624169360952,-0.33375665095716955,0.0053662714159131
2025-07-09,-1.024037419031096,-1.0365246624917526,-1.0371880997076783,-0.9676350164744117,-0.1277660130332017,0.2752228118408038,-0.9382399444154602,-1.146088222796812,-0.4387117663130539,0.0059969334396774
2025-07-10,-0.9899680460855096,-0.9621910286283588,-0.9390485967008907,-0.9236662388341467,-0.33758110377006884,0.3226412774550946,-0.9384494811301077,-1.1285238310061514,-0.4388827557566549,-0.0059022679350206
2025-07-11,-0.9878819793400323,-1.008865898399852,-0.9449861027433465,-0.9669429869774585,-0.565523189201096,-0.5720405805958902,-0.9551436774307275,-1.106198697878753,-0.684243627551259,-0.0121016943349271
2025-07-14,-1.0101316203447128,-1.051045702235879,-1.0260123305163455,-1.0548805422579877,-0.6106311434709455,-1.0381655040813074,-0.9644336373437064,-1.089211399935294,-0.5524745941690378,0.0023460715289745
2025-07-15,-1.0348143047987224,-1.0171630991153737,-0.9778151392692754,-1.0379157517721895,-0.4422157696484828,0.04813882851758015,-0.9707200595025942,-1.0663813200416925,-0.720498949371297,0.0050087134979031
2025-07-16,-0.9972680764920276,-0.9995306726107366,-0.9875942809813063,-1.0015635376764915,-0.18911029695921824,0.24833860571868105,-0.9775652818693704,-1.0452102918079156,-0.7486119674012831,-0.0006664390568958
2025-07-17,-0.9878818013620615,-1.0202752037391718,-0.9544158807273124,-1.0064109234637268,-0.16096472670290946,-0.17836700859647622,-0.9942593712635024,-1.0192784946371403,-0.9347968616645188,0.0055080773836711
2025-07-18,-0.9774523621869247,-1.0206209422948247,-0.9505737470479998,-0.966250427595745,-0.11679235925598436,0.2858849750164116,-0.9941196444849092,-0.9929499713216599,-0.9332643676852682,0.0061369925927967
2025-07-21,-0.9346912089833689,-0.8826707645190476,-0.8831680897011699,-0.9212430758252906,0.0002924333545744983,0.33317210044093576,-0.9671577215406119,-0.9722478163135851,-1.1842733676867607,0.008995608062564
2025-07-22,-0.8985353621157226,-0.9113668512302349,-0.8622128860344994,-0.8547700924150367,-0.24204891802302345,0.548106810713423,-0.9302073116968522,-0.9489849643350412,-1.1572744234323626,-0.0011667041677289
2025-07-23,-0.8338721306932758,-0.9044519998890397,-0.8559259147602971,-0.8634252300897949,-0.21353301131597374,-0.21598113956075696,-0.9023373250514248,-0.924008936585794,-1.2058353592869353,-0.0018229212418735
2025-07-24,-0.8721147547645717,-0.8857825651222713,-0.8168106685721808,-0.8769282834365479,-0.2606388332806097,-0.2653210484078221,-0.8762136558722053,-0.9020084377226251,-1.1947151782506873,0.0005613299242606
2025-07-25,-0.8443021249797954,-0.9013403007635336,-0.8213506568191903,-0.8727729271462668,-0.5410127635796914,-0.08605302896637258,-0.8573541755825704,-0.8787816040840579,-1.2154646830952787,0.0007945711497307
2025-07-28,-0.8675942401759293,-0.9148237155472985,-0.8332246753340871,-0.8668869672288431,-0.6584873840331354,-0.06851599547928496,-0.8463876012329483,-0.8553924809136365,-1.2169717793553942,-0.0130727429705193
2025-07-29,-0.862380081938587,-0.9162073622245883,-0.9114572017113571,-0.9631341753204141,0.001963820230944637,-1.111177092858756,-0.8682505123701897,-0.8443922038817913,-1.2797536214227976,-0.0105635130005587
2025-07-30,-0.9416446381543815,-0.9998765966558484,-1.019725782508188,-1.039993429917329,-0.2854952311125749,-0.9225121176970476,-0.9038738919900109,-0.8421741365454077,-1.289014400152491,-0.0071047507139677
2025-07-31,-1.0601927667470503,-1.0880400123145098,-1.0392834232748074,-1.0912322264689263,1.4290602060090594,-0.6624533312558065,-0.9471106170861707,-0.8509562910403488,-1.677322577827288,-0.0253215174404655
