date,open,high,low,close,volume,daily_return,ma5,ma20,volatility20,target,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7
2025-05-20,-1.088700478049492,-1.1354063168704245,-1.113674386280643,-1.1158135804992937,-0.43245545503224553,-0.8229092593211669,-0.9830135571696681,-1.0178888491202465,1.6781914944992566,-0.0233291443951486,0.815281742817999,-1.730205113437216,0.1912661444255222,0.03698781175157322,-0.10345250210172252,2.5899056695786102,0.957518167322828,0.7509842136188629
2025-05-21,-1.175613397855029,-1.184847630741549,-1.26455123940496,-1.2809569350099757,0.3820508398920151,-1.8823394586807232,-1.0545396630600115,-1.0219320112837396,1.6872074129104593,-0.0036188576331059,0.42201102954574166,-0.5925437936641624,1.1013173877856026,2.6081543789618613,4.508930311921482,1.69179634278779,-2.660061168811714,-3.524700238787132
2025-05-22,-1.3306659682271913,-1.3331704753400269,-1.2998266502856206,-1.3062308484220575,-0.2255640731170171,-0.4003546239270837,-1.1250181922836027,-1.034081259560748,1.5592323351717137,-0.0307109504895662,1.5970792649705687,0.7683071009235941,0.36951581151797264,-0.466310796217052,-0.22056297731798166,0.706853881794963,-0.07663905542746045,0.011234912144294317
2025-05-23,-1.5754113016410345,-1.5077681452956722,-1.517758495040216,-1.5170725244306273,1.3186658337520172,-2.437365614164476,-1.2367076755799606,-1.058851527367823,1.8157261527866948,0.024983548541691,1.3387548464170456,0.5041696270771877,0.4531901168645705,-1.6784113094253292,-0.21648323284717946,1.8421165654010294,0.5419084634403963,-0.21348366238291505
2025-05-27,-1.4144492254839152,-1.4026633102580144,-1.3791063151475071,-1.3460442697720412,0.2396028732537403,1.750214401285814,-1.2965687870406868,-1.0762622409079103,2.0543520909036066,0.0010482873230302,0.41401568345812145,-0.4989379006673317,-0.11764368135249302,0.3713837159777459,-1.2200028609336881,1.0450472566002864,0.7542313626668304,-2.786753336416485
2025-05-28,-1.3348375543466608,-1.333861516087688,-1.2928411304998824,-1.3387742508607101,-0.2939155125188945,-0.04943948351875489,-1.341552043416028,-1.095221301462879,2.0400465348103634,-0.0023477932989866,0.6972215511559366,-0.5811541895207674,0.3620981372740053,-1.2264291319132554,3.5041458946476474,1.2225507427861784,-2.3143900365148964,-2.808946322414699
2025-05-29,-1.2308894731335405,-1.2965212338464185,-1.3413868610065716,-1.3550459520800364,0.0012377658735710198,-0.30478533617889186,-1.3564998153439531,-1.1173511351468413,2.014795908791235,0.0044910669006336,0.21379031742053797,1.2064127268555955,0.5513077672325727,-0.8310001227876611,1.3511723001022558,0.6467947541654432,-1.9408354908647671,-0.462022760303657
2025-05-30,-1.3772507327510464,-1.3604828528894064,-1.4018073597381338,-1.3238866086352903,0.9476959127664234,0.2094175886793673,-1.360061939492961,-1.1393347702508334,2.017746086387491,0.0042230385921995,0.5221621455406382,-0.17564929612438376,0.3627582771657499,0.9398915429148775,-1.8945247493368793,1.1996777104683358,0.4843901836343086,-2.11241119968415
2025-06-02,-1.345614380947291,-1.3546053359952537,-1.285157276711929,-1.2944589285872081,-0.7771266151671988,0.1892649702431431,-1.3151487068666465,-1.1454319162019198,1.5903976070002535,0.0077536722625899,-1.292117151515623,0.2533640583786564,1.4177773365464117,-0.31664874724955183,0.6762320497870195,0.3954126495381966,-0.25051475902227494,-0.22352191233782068
2025-06-03,-1.3084159328490996,-1.2979044395349066,-1.2558201384812724,-1.2401038797602801,-0.24314530883113797,0.4547276507083202,-1.2937747860012414,-1.1370636552137297,1.2378499071843747,-0.0022162034879448,-0.9693464118771284,0.608956988754677,1.9421528969010815,-0.31122804960018957,0.8170574415703676,1.0577019578536908,0.0384092380306912,-0.1543461714515239
2025-06-04,-1.254182212149883,-1.2125063315241666,-1.216005138606486,-1.255683021597893,-0.37849353588086676,-0.2948913094340555,-1.2770107797645684,-1.1288224934252316,1.238581191988751,-0.0108564388294812,0.12249756743994783,-0.5975378210979607,-0.7175847510224508,-0.48413379208767193,0.08551552879598318,-2.2098899611134795,-1.4980817429785267,0.46923247483592506
2025-06-05,-1.2336706341535688,-1.264021477193193,-1.2841094249293947,-1.3315031721798594,0.18296088768252605,-0.9445367407485386,-1.2722609245442675,-1.1204604424956583,1.2331011219486,0.0162652456590958,0.031541716756872444,0.9423434449058526,0.4300920012540127,1.5437255484944516,-1.356306126315665,-1.4314567957545485,-0.3233551012294972,1.444919840973378
2025-06-06,-1.2510536371413126,-1.2311767443294581,-1.2177516607819234,-1.2176002038750535,-0.23212779942159603,1.0946991968253388,-1.250817193742809,-1.1083986870444973,1.3063283868176632,-0.0121864866279259,-0.889545395847542,-0.40280145421976155,-0.48731567905175,-1.088309648307305,-0.5790755931406543,0.5617157591818284,0.7188323840669304,-0.9797482469491752
2025-06-09,-1.2027297133320582,-1.2208039542787061,-1.288649322349117,-1.3031140662619662,1.047233579599114,-1.044540900535214,-1.252563404302529,-1.1026640981155926,1.3665452161992777,0.0060377266362993,-0.30254483509828123,-1.4521857495536936,-0.04487588488579916,-0.3453225446865078,-0.6448770817675561,-0.04410460844848809,1.7643341273683097,-1.1297288039989106
