date,open,high,low,close,volume,daily_log_return,target,ma5,ma20,volatility20
2024-07-02,214.4911227279333,218.6886699462021,213.44919320249295,218.5795135498047,58046200,0.016109572298184778,0.0057942805347986626,,,
2024-07-03,218.31159349071294,219.84970092773438,217.34903661716913,219.84970092773438,37369800,0.0057942805347986626,0.021389910200941865,,,
2024-07-05,219.94891212590596,224.71207692855523,219.94891212590596,224.60292053222656,60412400,0.021389910200941865,0.006517489804202892,,,
2024-07-08,225.3471401186269,226.1013170084402,221.53661474646515,226.07154846191406,59085900,0.006517489804202892,0.003767775610622582,220.838037109375,,
2024-07-09,226.18069804264906,227.63941744293055,224.63267299949706,226.92494201660156,48076100,0.003767775610622582,0.01862896503465529,223.20572509765626,,
2024-07-10,227.54019053238477,231.29117889263895,227.49057123987387,231.1919403076172,62627700,0.01862896503465529,-0.0234946833389435,225.72821044921875,,
2024-07-11,229.61414576243664,230.6064710416972,224.0372825383305,225.82347106933594,64710600,-0.0234946833389435,0.012966426176901,226.92296447753907,,
2024-07-12,227.16309831312876,230.8545495178413,226.92493479803437,228.77066040039062,53046500,0.012966426176901,0.016604774015169375,227.7565124511719,,
2024-07-15,234.66509753137677,235.409341553401,231.30111515749465,232.60105895996094,62631300,0.016604774015169375,0.0017902137516750958,229.06241455078126,,
2024-07-16,233.19644881294397,234.4567062015191,230.54694204130521,233.01783752441406,43234300,0.0017902137516750958,-0.02562139962288742,230.28099365234374,,
2024-07-17,227.68904591405493,229.6836295353235,224.9006141352506,227.12342834472656,57345900,-0.02562139962288742,-0.020748598669369397,229.46729125976563,,
2024-07-18,228.51267855827928,228.67145424701283,220.56415801938329,222.45948791503906,66034600,-0.020748598669369397,0.000579771477941313,228.79449462890625,,
2024-07-19,223.09459660515446,225.0593965950336,221.56640705838353,222.5885009765625,49151500,0.000579771477941313,-0.00156145194586809,227.5580627441406,,
2024-07-22,225.26779139889447,226.03188622300922,221.3778775132773,222.2412109375,48201800,-0.00156145194586809,0.0046771970979965745,225.48609313964843,,
2024-07-23,222.64802398231987,225.19830728583617,220.97099179310993,223.28311157226562,39960300,0.0046771970979965745,-0.02917566177808177,223.53914794921874,,
2024-07-24,222.28089648286087,223.0747598557794,215.46362561910502,216.86279296875,61777600,-0.02917566177808177,-0.0048162843502498704,221.48702087402344,,
2024-07-25,217.2497669876539,219.1550448561193,212.9728474396388,215.82083129882812,51391200,-0.0048162843502498704,0.0021587913309489377,220.15928955078124,,
2024-07-26,217.02155779536062,217.80550332568987,214.35220009781358,216.28724670410156,41601300,0.0021587913309489377,0.0012837972771578348,218.89903869628907,,
2024-07-29,215.29491873308154,217.61695646267233,214.0941983741811,216.56509399414062,36311800,0.0012837972771578348,0.002562660702265259,217.7638153076172,223.28759002685547,
2024-07-30,217.50779485320817,218.63904514115285,214.46134877521007,217.12078857421875,41643800,0.002562660702265259,0.014879513024573288,216.5313507080078,223.38930435180663,0.014775256506136704
2024-07-31,219.74050753338085,222.1022464925354,218.93672649714605,220.37559509277344,50036300,0.014879513024573288,-0.016892539383953017,217.2339111328125,223.47910842895507,0.014709144576821688
2024-08-01,222.64802807062824,222.7571844619209,215.35444602521784,216.6841583251953,62501000,-0.016892539383953017,0.006845934785965358,217.40657653808594,223.32083129882812,0.015140456586930648
