epoch,train_loss,val_loss
1,0.0012787355380543671,0.001832297071814537
2,0.0009554521701134303,0.000635583302937448
3,0.0004060523291734759,0.0004931664443574846
4,0.00040781300306073665,0.0005237162113189697
5,0.0003642409574240446,0.0003461172746028751
6,0.0002492969626259497,0.0005185557529330254
7,0.0002546586123678614,0.0005017481744289398
8,0.00022986479812329088,0.00034065646468661726
9,0.0001902546693386017,0.00031099969055503607
10,0.00018364626713959938,0.00031575519824400544
11,0.0001652099843554692,0.0003205072716809809
12,0.00012803512800019234,0.0003649746358860284
13,0.00015144886942032506,0.00036645258660428226
14,0.00014813325405531728,0.00032234558602795005
15,0.0001430727870148771,0.00030589892412535846
16,0.00014046812387224396,0.0003074925334658474
17,0.0001580134198507842,0.00032281148014590144
18,0.0001555442500188399,0.00036247906973585486
19,0.00013807894805829753,0.000354492076439783
20,0.00013745785605244557,0.0003179360937792808
21,0.00014777432079426944,0.0003084631753154099
22,0.00012991834998555372,0.0003327508457005024
23,0.0001271468384348897,0.0003478617873042822
24,0.00013372955607551644,0.00032894290052354336
25,0.00013482318172464147,0.00029506467399187386
26,0.00013664909056387842,0.00027792324544861913
27,0.0001347714997417129,0.00028207662398926914
28,0.00013308377631748205,0.00033117333077825606
29,0.00013451480566907455,0.0004206952580716461
30,0.00015149998601854723,0.0004165510763414204
31,0.00012374375279143671,0.0003219468053430319
32,0.0001377165163456298,0.00029826367972418666
33,0.00011331543689319755,0.000322807754855603
34,0.00013813169275903527,0.0003929983067791909
35,0.00013470224375316107,0.0004048850969411433
36,0.00012123499404611614,0.00040168093983083963
